epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2894,0,29.4418,0,0,0,0,0,0,21.5281,0,0.00016,0.00016,0.00016
2,17.2639,0,27.8939,0,0,0,0,0,0,21.445,0,0.00032317,0.00032317,0.00032317
3,23.1394,0,26.2485,0,0,0,0,0,0,21.3975,0,0.00046852,0.00046852,0.00046852
4,28.5799,0,24.2919,0,0,0,0,0,0,21.392,0,0.00059605,0.00059605,0.00059605
5,34.8967,0,22.2716,0,0,0,0,0,0,20.9667,0,0.00070576,0.00070576,0.00070576
6,40.3776,0,20.4118,0,0,0,0,0,0,19.7107,0,0.00079765,0.00079765,0.00079765
7,45.7912,0,19.1918,0,0,0,0,0,0,20.7882,0,0.00087172,0.00087172,0.00087172
8,51.3711,0,18.0733,0,0,0,0,0,0,92.599,0,0.00092797,0.00092797,0.00092797
9,57.3602,0,17.1808,0,0,0,0,0,0,16.3944,0,0.0009664,0.0009664,0.0009664
10,63.6162,0,16.2806,0,0,0,0,0,0,17.6958,0,0.00098701,0.00098701,0.00098701
11,71.5814,0,15.8159,0,0,0,0,0,0,10.4093,0,0.0009898,0.0009898,0.0009898
12,77.2034,0,15.2384,0,0,0,0,0,0,11.9432,0,0.000911,0.000911,0.000911
13,83.2587,0,14.619,0,0,0,0,0,0,13.3534,0,0.000812,0.000812,0.000812
14,89.4257,0,14.1628,0,0,0,0,0,0,12.2154,0,0.000713,0.000713,0.000713
15,95.9476,0,13.8458,0,0,0,0,0,0,11.6513,0,0.000614,0.000614,0.000614
16,102.86,0,13.6262,0,0,0,0,0,0,10.0057,0,0.000515,0.000515,0.000515
17,109.961,0,13.2388,0,0,0,0,0,0,10.3863,0,0.000416,0.000416,0.000416
18,118.674,0,13.0016,0,0,0,0,0,0,10.6118,0,0.000317,0.000317,0.000317
19,126.651,0,12.8473,0,0,0,0,0,0,10.7532,0,0.000218,0.000218,0.000218
20,134.7,0,12.8137,0,0,0,0,0,0,10.4598,0,0.000119,0.000119,0.000119
