epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.3368,1.28236,3.32285,1.15991,0.00563,1,0.41705,0.36816,0.81963,2.97041,0.7838,0.00016,0.00016,0.00016
2,29.0803,1.1173,2.50812,0.94535,0.00586,1,0.38785,0.27388,0.87461,3.01591,0.86054,0.00032317,0.00032317,0.00032317
3,37.8411,0.9753,1.52291,0.96687,1,0.22731,0.40012,0.3406,0.92404,2.79511,0.83794,0.00046852,0.00046852,0.00046852
4,46.8433,1.03352,1.25171,0.93741,0.53037,0.15385,0.30576,0.24069,0.74891,2.87801,0.81164,0.00059605,0.00059605,0.00059605
5,56.6156,1.01699,1.21908,0.96013,0.00608,0.92308,0.01555,0.01296,0.64433,3.21576,0.88942,0.00070576,0.00070576,0.00070576
6,65.4882,0.96039,1.09055,0.96587,0.00611,1,0.11721,0.04865,0.77473,3.05918,0.92305,0.00079765,0.00079765,0.00079765
7,75.0266,0.95614,1.05589,0.93907,0.90686,0.23077,0.31386,0.09945,0.88073,2.88122,1.00825,0.00087172,0.00087172,0.00087172
8,83.9989,0.95084,0.9935,0.91519,1,0.30632,0.43952,0.29698,0.9864,2.54788,0.96701,0.00092797,0.00092797,0.00092797
9,92.5457,0.92027,0.96878,0.92978,0.96704,0.46154,0.61232,0.44148,0.8792,2.20611,1.06405,0.0009664,0.0009664,0.0009664
10,101.041,0.87649,1.0046,0.9331,1,0.35909,0.72602,0.53921,0.85302,2.25938,0.91696,0.00098701,0.00098701,0.00098701
11,110.544,0.80865,1.05924,0.83776,1,0.51149,0.81532,0.56956,0.98262,2.0479,1.06667,0.0009898,0.0009898,0.0009898
12,119.451,0.83294,1.09851,0.91924,0.83789,0.7966,0.92673,0.67158,0.91581,1.62181,0.97627,0.000911,0.000911,0.000911
13,127.79,0.81619,1.0576,0.89791,0.9174,0.76923,0.97336,0.77774,0.8389,1.44373,0.92671,0.000812,0.000812,0.000812
14,135.922,0.80707,1.01041,0.90749,0.92717,0.98038,0.95143,0.7885,0.76505,1.25786,0.93924,0.000713,0.000713,0.000713
15,144.57,0.78196,0.94814,0.86082,0.92741,1,0.99,0.79056,0.84933,1.18248,0.96176,0.000614,0.000614,0.000614
16,153.181,0.80039,0.91587,0.87746,0.99881,1,0.995,0.79894,0.8128,0.95821,0.95302,0.000515,0.000515,0.000515
17,161.567,0.73954,0.86502,0.8798,0.99708,1,0.995,0.78602,0.73689,0.87874,0.92565,0.000416,0.000416,0.000416
18,169.89,0.69839,0.89866,0.84806,0.99594,1,0.995,0.82909,0.69086,0.82506,0.90113,0.000317,0.000317,0.000317
19,178.933,0.66967,0.82209,0.87641,0.99421,1,0.995,0.85448,0.68422,0.76928,0.89179,0.000218,0.000218,0.000218
20,187.404,0.65857,0.83922,0.8626,0.99451,1,0.995,0.86448,0.62116,0.74535,0.87728,0.000119,0.000119,0.000119
